Record ID,year,month,MoleculeName,TradeName,ProductName,Packs,Value,Date
2,2017,12,molecule2,brand2,SKU2,7675.0,5627.32811053075,2017-12-01
53,2017,12,molecule9,brand25,SKU66,279319.0,3343924.858307089,2017-12-01
60,2017,12,molecule13,brand30,SKU76,2937.0,51814.66476641305,2017-12-01
59,2017,12,molecule12,brand29,SKU75,1049.0,5778.736158243383,2017-12-01
58,2017,12,molecule12,brand29,SKU74,1068.0,4067.5863151107014,2017-12-01
57,2017,12,molecule11,brand28,SKU73,23003.0,378079.576489476,2017-12-01
56,2017,12,molecule10,brand27,SKU72,226.0,8612.857194524964,2017-12-01
55,2017,12,molecule10,brand27,SKU71,242.0,4572.477634507957,2017-12-01
54,2017,12,molecule9,brand26,SKU67,119.0,363.2878853861105,2017-12-01
32,2017,12,molecule6,brand14,SKU45,9934.0,35559.70034598823,2017-12-01
52,2017,12,molecule9,brand25,SKU65,9111.0,36956.84592224611,2017-12-01
51,2017,12,molecule9,brand24,SKU64,15356.0,67246.27630991845,2017-12-01
50,2017,12,molecule9,brand23,SKU63,30916.0,130099.4927093142,2017-12-01
48,2017,12,molecule9,brand21,SKU61,4913.0,141230.8358969114,2017-12-01
47,2017,12,molecule9,brand21,SKU60,41.0,1094.1310784221862,2017-12-01
49,2017,12,molecule9,brand22,SKU62,35918.0,1091622.9451673646,2017-12-01
45,2017,12,molecule8,brand19,SKU58,95027.0,149114.95804851985,2017-12-01
33,2017,12,molecule6,brand14,SKU46,70702.0,143065.11166353326,2017-12-01
34,2017,12,molecule6,brand15,SKU47,56533.0,322537.51283521997,2017-12-01
35,2017,12,molecule6,brand15,SKU48,9107.0,68140.98759657226,2017-12-01
36,2017,12,molecule6,brand15,SKU49,117477.0,529236.7798891704,2017-12-01
46,2017,12,molecule8,brand20,SKU59,3157.0,18321.392993242865,2017-12-01
38,2017,12,molecule6,brand16,SKU51,145.0,1724.049674310224,2017-12-01
37,2017,12,molecule6,brand16,SKU50,258.0,2539.2457002834562,2017-12-01
40,2017,12,molecule6,brand17,SKU53,129.0,3972.3523682886866,2017-12-01
41,2017,12,molecule6,brand17,SKU54,349.0,13549.588495757705,2017-12-01
42,2017,12,molecule6,brand17,SKU55,94.0,2465.0152715359727,2017-12-01
43,2017,12,molecule7,brand18,SKU56,104.0,11216.751108888046,2017-12-01
44,2017,12,molecule7,brand18,SKU57,138.0,14595.878256503453,2017-12-01
39,2017,12,molecule6,brand16,SKU52,270.0,1692.193874311744,2017-12-01
206,2018,1,molecule16,brand39,SKU100,13628.0,152694.53105692912,2018-01-01
202,2018,1,molecule16,brand37,SKU96,86146.0,394181.7928382106,2018-01-01
203,2018,1,molecule16,brand37,SKU97,59376.0,134427.1248504669,2018-01-01
204,2018,1,molecule16,brand37,SKU98,186274.0,655976.618479072,2018-01-01
205,2018,1,molecule16,brand38,SKU99,1345.0,4575.394927574059,2018-01-01
207,2018,1,molecule17,brand43,SKU104,6.0,524.3750775722975,2018-01-01
186,2018,1,molecule15,brand32,SKU80,3.0,1506.930867568573,2018-01-01
209,2018,1,molecule18,brand44,SKU108,22.0,282.0019622097319,2018-01-01
210,2018,1,molecule18,brand45,SKU109,59470.0,593870.2866062185,2018-01-01
211,2018,1,molecule18,brand46,SKU110,3506.0,33075.32874008944,2018-01-01
212,2018,1,molecule19,brand48,SKU113,138.0,14279.806024123596,2018-01-01
213,2018,1,molecule19,brand48,SKU114,298.0,31221.770212673277,2018-01-01
208,2018,1,molecule17,brand43,SKU105,6.0,523.7023706094077,2018-01-01
201,2018,1,molecule16,brand36,SKU95,1436.0,7490.290172310765,2018-01-01
187,2018,1,molecule16,brand33,SKU81,1715.0,23454.11656159268,2018-01-01
199,2018,1,molecule16,brand36,SKU93,154893.0,298192.01313781406,2018-01-01
198,2018,1,molecule16,brand36,SKU92,1596.0,10540.766700643768,2018-01-01
197,2018,1,molecule16,brand36,SKU91,173947.0,686063.1288766342,2018-01-01
196,2018,1,molecule16,brand35,SKU90,63.0,438.673892267593,2018-01-01
195,2018,1,molecule16,brand35,SKU89,317.0,5695.061662552007,2018-01-01
194,2018,1,molecule16,brand34,SKU88,141.0,1078.4636216954168,2018-01-01
193,2018,1,molecule16,brand34,SKU87,468.0,10888.748229269162,2018-01-01
192,2018,1,molecule16,brand33,SKU86,4580.0,47592.11946499842,2018-01-01
191,2018,1,molecule16,brand33,SKU85,1951.0,15430.214300271045,2018-01-01
190,2018,1,molecule16,brand33,SKU84,4251.0,55914.51145593189,2018-01-01
189,2018,1,molecule16,brand33,SKU83,2953.0,20834.971681996278,2018-01-01
188,2018,1,molecule16,brand33,SKU82,4935.0,121975.25776992962,2018-01-01
214,2018,1,molecule20,brand49,SKU115,160.0,14399.376079421032,2018-01-01
200,2018,1,molecule16,brand36,SKU94,326028.0,1055218.3620132501,2018-01-01
215,2018,1,molecule20,brand49,SKU116,129.0,11639.453978815569,2018-01-01
230,2018,1,molecule22,brand56,SKU133,102667.0,215469.33765723652,2018-01-01
217,2018,1,molecule21,brand50,SKU117,9.0,688.1792230358698,2018-01-01
245,2018,1,molecule28,brand71,SKU157,6.0,149.03822762814983,2018-01-01
244,2018,1,molecule27,brand69,SKU152,27458.0,84333.37090925477,2018-01-01
243,2018,1,molecule27,brand69,SKU151,8162.0,45902.6250268925,2018-01-01
242,2018,1,molecule27,brand68,SKU150,19845.0,153924.43414726167,2018-01-01
241,2018,1,molecule27,brand68,SKU149,5096.0,68860.75662221921,2018-01-01
240,2018,1,molecule26,brand67,SKU148,430.0,38556.42708717418,2018-01-01
239,2018,1,molecule25,brand66,SKU146,990.0,10312.962924874566,2018-01-01
238,2018,1,molecule25,brand65,SKU145,18256.0,23196.729132157587,2018-01-01
237,2018,1,molecule25,brand64,SKU144,58195.0,25039.387511016266,2018-01-01
236,2018,1,molecule24,brand61,SKU141,3974.0,59318.96338594108,2018-01-01
235,2018,1,molecule24,brand60,SKU140,32698.0,650611.5385516707,2018-01-01
234,2018,1,molecule22,brand58,SKU137,6962.0,31639.202228496255,2018-01-01
233,2018,1,molecule22,brand58,SKU136,6990.0,46263.02804763255,2018-01-01
232,2018,1,molecule22,brand57,SKU135,18853.0,102314.6637837607,2018-01-01
231,2018,1,molecule22,brand57,SKU134,8938.0,61600.96965945403,2018-01-01
229,2018,1,molecule22,brand56,SKU132,47048.0,52130.16012192948,2018-01-01
228,2018,1,molecule22,brand56,SKU131,233515.0,282475.715041855,2018-01-01
227,2018,1,molecule22,brand56,SKU130,2774.0,13230.881783918485,2018-01-01
226,2018,1,molecule22,brand56,SKU129,18925.0,36073.08042388115,2018-01-01
225,2018,1,molecule22,brand55,SKU128,192.0,10751.242381637405,2018-01-01
224,2018,1,molecule22,brand54,SKU127,4555.0,16324.93079723634,2018-01-01
223,2018,1,molecule22,brand54,SKU126,2573.0,11577.56021264651,2018-01-01
222,2018,1,molecule22,brand53,SKU125,405.0,4753.836285650788,2018-01-01
221,2018,1,molecule22,brand53,SKU124,19.0,250.5870809372115,2018-01-01
220,2018,1,molecule22,brand51,SKU121,16299.0,144403.20469572055,2018-01-01
219,2018,1,molecule22,brand51,SKU120,18237.0,136376.78391877798,2018-01-01
218,2018,1,molecule22,brand51,SKU119,8281.0,82243.35076336162,2018-01-01
216,2018,1,molecule21,brand50,SKU118,19.0,1313.2921683008567,2018-01-01
185,2018,1,molecule14,brand31,SKU79,452.0,60395.713036513014,2018-01-01
153,2018,1,molecule5,brand12,SKU30,5645.0,38967.303456058646,2018-01-01
183,2018,1,molecule13,brand30,SKU76,3079.0,55792.580364266854,2018-01-01
150,2018,1,molecule5,brand10,SKU27,31560.0,567235.3809833588,2018-01-01
149,2018,1,molecule5,brand10,SKU26,34319.0,418832.73324773955,2018-01-01
148,2018,1,molecule5,brand10,SKU25,13405.0,349029.53228363494,2018-01-01
